... using circuit method 1
************
Executing VQE with num_qubits 4
************
Executing VQE with num_qubits 6
************
Executing VQE with num_qubits 8
         1237734946 function calls (1185790356 primitive calls) in 1359.740 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    61670    0.043    0.000    0.134    0.000 <__array_function__ internals>:177(count_nonzero)
   363140    0.269    0.000    5.854    0.000 <__array_function__ internals>:177(det)
       35    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(iscomplex)
    61474    0.036    0.000    0.088    0.000 <__array_function__ internals>:177(real)
    32208    0.031    0.000    0.376    0.000 <__array_function__ internals>:177(sum)
     2256    0.002    0.000    0.007    0.000 <__array_function__ internals>:177(where)
        1    0.000    0.000    0.009    0.009 <frozen importlib._bootstrap>:1002(_gcd_import)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     18/1    0.000    0.000    0.034    0.034 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
   687637    0.342    0.000    0.456    0.000 <frozen importlib._bootstrap>:389(parent)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     15/1    0.000    0.000    0.034    0.034 <frozen importlib._bootstrap>:650(_load_unlocked)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
     22/1    0.000    0.000    0.034    0.034 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     22/1    0.000    0.000    0.035    0.035 <frozen importlib._bootstrap>:986(_find_and_load)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1164(create_module)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap_external>:1172(exec_module)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
       81    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
     14/1    0.000    0.000    0.034    0.034 <frozen importlib._bootstrap_external>:842(exec_module)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:914(get_code)
        5    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.005    0.005 1360.455 1360.455 <string>:1(<module>)
  6955266    2.053    0.000    4.362    0.000 <string>:1(__new__)
        5    0.000    0.000    0.011    0.002 __init__.py:1(<module>)
     10/1    0.000    0.000    0.000    0.000 __init__.py:101(__init__)
